customer_id,age,annual_income_$,employment_length,employment_type,education,marital_status,num_dependents
10000,41,61800.0,2.2,1,2,1,2
10001,38,28600.0,7.0,1,3,1,0
10002,18,20700.0,0.8,1,1,2,0
10003,27,31400.0,4.8,1,1,2,0
10004,26,24600.0,5.2,1,3,2,0
10005,22,56100.0,4.7,1,2,1,0
10006,32,37100.0,3.7,1,3,1,0
10007,42,34600.0,1.7,1,3,1,2
10008,52,26200.0,5.2,1,4,1,2
10009,45,60100.0,10.9,2,3,1,0
10010,35,21600.0,2.6,3,4,2,0
10011,38,23100.0,5.2,1,3,1,3
10012,36,53900.0,5.8,1,1,2,0
10013,41,23500.0,5.6,1,0,0,0
10014,53,71500.0,4.7,3,1,1,2
10015,33,21100.0,7.4,1,4,2,1
10016,18,21200.0,0.5,1,3,2,0
10017,44,36400.0,5.8,3,1,0,0
10018,27,20000.0,9.4,1,3,0,2
10019,56,113100.0,5.6,2,1,1,0
10020,37,53600.0,4.7,1,2,1,2
10021,18,20000.0,0.7,2,3,1,0
10022,22,20000.0,4.7,1,2,2,3
10023,58,40600.0,7.8,1,3,0,1
10024,56,37100.0,3.9,0,1,0,0
10025,34,22400.0,1.6,1,3,1,2
10026,45,56900.0,7.0,3,1,1,1
10027,52,58600.0,3.3,3,3,2,2
10028,33,36000.0,3.4,1,1,1,2
10029,39,31600.0,12.7,1,3,1,3
10030,20,20000.0,2.4,1,3,2,0
10031,44,132200.0,2.7,3,2,0,0
10032,50,48100.0,3.8,1,1,1,0
10033,36,85100.0,0.1,1,0,1,3
10034,47,115600.0,11.4,1,0,1,3
10035,23,23900.0,5.4,1,4,1,0
10036,52,20300.0,4.5,1,3,2,1
10037,24,20000.0,2.5,1,1,2,1
10038,35,38200.0,1.4,2,2,1,0
10039,39,22200.0,3.3,1,1,2,1
10040,18,20000.0,0.2,1,3,2,1
10041,69,20000.0,1.6,2,3,1,4
10042,25,67800.0,7.4,1,1,2,1
10043,44,102800.0,6.6,3,2,2,1
10044,35,29900.0,4.4,1,1,1,2
10045,49,49000.0,5.9,1,3,1,1
10046,20,28900.0,2.4,3,1,2,1
10047,31,40000.0,1.7,1,4,1,0
10048,32,21300.0,7.9,3,4,1,1
10049,44,67100.0,1.0,3,3,0,1
10050,38,37500.0,9.4,1,3,1,2
10051,42,71700.0,6.5,1,2,2,2
10052,39,24800.0,7.8,1,3,1,1
10053,25,61000.0,1.3,3,2,2,1
10054,37,98600.0,4.3,1,0,2,1
10055,53,39100.0,7.3,1,4,2,1
10056,28,45900.0,9.8,2,3,2,2
10057,33,20000.0,8.6,3,3,0,1
10058,39,20000.0,4.0,0,3,1,3
10059,23,61400.0,1.9,1,1,2,0
10060,40,49700.0,0.9,1,2,0,0
10061,29,21300.0,1.3,0,3,1,4
10062,41,39500.0,5.2,1,3,1,3
10063,56,34100.0,5.2,1,3,1,0
10064,41,23400.0,7.2,3,1,1,3
10065,37,104300.0,6.0,3,0,1,2
10066,61,83500.0,1.5,3,1,1,1
10067,59,40500.0,0.7,1,1,0,1
10068,46,27700.0,8.4,1,1,0,2
10069,44,20000.0,6.5,1,1,2,2
10070,35,29800.0,14.0,1,1,2,3
10071,35,56200.0,9.3,1,1,1,1
10072,31,31200.0,10.0,2,4,1,2
10073,53,37300.0,0.6,1,3,0,1
10074,45,42600.0,7.1,1,4,1,2
10075,43,27500.0,6.1,1,1,1,0
10076,27,38000.0,4.9,1,1,2,1
10077,51,85600.0,7.8,1,3,1,1
10078,49,100300.0,0.1,3,4,1,3
10079,50,69200.0,6.0,1,1,1,1
10080,40,34100.0,1.7,0,1,1,1
10081,30,49200.0,7.0,1,4,2,1
10082,49,56700.0,11.0,2,0,2,0
10083,49,34800.0,1.3,1,3,2,1
10084,32,100200.0,8.6,1,0,2,2
10085,31,23900.0,3.9,3,3,2,0
10086,47,56300.0,4.7,3,2,2,1
10087,25,20700.0,6.7,1,4,2,2
10088,22,22500.0,5.2,1,1,2,2
10089,34,140100.0,4.6,1,4,1,2
10090,27,20000.0,4.4,1,3,2,0
10091,21,20000.0,3.6,1,3,2,1
10092,25,54500.0,7.3,2,1,2,2
10093,42,23400.0,11.5,3,4,1,0
10094,51,99500.0,7.2,3,0,1,2
10095,33,40700.0,7.6,1,3,2,0
10096,34,28500.0,6.2,0,2,1,2
10097,27,51500.0,2.0,2,2,1,0
10098,40,92200.0,1.1,1,4,1,1
