customer_id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index
10000,OH,4.8,56000.0,1380.0,91.0,73.0
10001,PA,4.4,61000.0,1510.0,92.0,87.0
10002,VA,3.9,74000.0,1920.0,125.0,103.0
10003,CA,5.8,75000.0,1690.0,158.0,121.0
10004,WA,5.8,78000.0,1700.0,152.0,127.0
10005,WA,5.0,78000.0,1850.0,154.0,117.0
10006,MI,5.2,57000.0,1400.0,100.0,85.0
10007,TX,4.5,61000.0,1330.0,104.0,79.0
10008,CA,6.1,75000.0,1800.0,167.0,125.0
10009,MD,4.4,84000.0,1970.0,126.0,105.0
10010,NY,4.8,72000.0,1600.0,141.0,112.0
10011,MO,3.7,55000.0,1200.0,97.0,75.0
10012,MD,4.1,84000.0,1960.0,123.0,114.0
10013,MI,5.4,57000.0,1370.0,99.0,89.0
10014,IL,5.7,65000.0,1410.0,101.0,81.0
10015,FL,4.8,55000.0,1330.0,115.0,91.0
10016,IL,5.4,65000.0,1540.0,103.0,84.0
10017,NJ,4.9,82000.0,1830.0,133.0,116.0
10018,WI,4.2,60000.0,1470.0,100.0,84.0
10019,CA,5.5,75000.0,2120.0,165.0,136.0
10020,NY,4.5,72000.0,1650.0,134.0,106.0
10021,WI,4.1,60000.0,1270.0,111.0,88.0
10022,NC,4.1,54000.0,1280.0,112.0,90.0
10023,CA,5.3,75000.0,2120.0,155.0,123.0
10024,CA,5.5,75000.0,1870.0,156.0,120.0
10025,AZ,4.8,58000.0,1420.0,112.0,94.0
10026,PA,4.7,61000.0,1510.0,108.0,85.0
10027,CA,6.0,75000.0,1560.0,162.0,131.0
10028,TX,4.4,61000.0,1400.0,107.0,97.0
10029,NJ,4.7,82000.0,2030.0,142.0,115.0
10030,NC,5.0,54000.0,1190.0,109.0,85.0
10031,IL,5.5,65000.0,1760.0,97.0,83.0
10032,TN,4.1,53000.0,1420.0,118.0,95.0
10033,MI,6.0,57000.0,1350.0,91.0,72.0
10034,TX,4.0,61000.0,1340.0,109.0,91.0
10035,NY,5.1,72000.0,1580.0,137.0,112.0
10036,PA,4.5,61000.0,1680.0,85.0,79.0
10037,MD,4.3,84000.0,2130.0,122.0,110.0
10038,FL,5.1,55000.0,1240.0,111.0,84.0
10039,OH,4.9,56000.0,1610.0,86.0,83.0
10040,NC,4.3,54000.0,1460.0,118.0,95.0
10041,TX,4.1,61000.0,1280.0,106.0,91.0
10042,IN,4.2,55000.0,1270.0,90.0,82.0
10043,IN,4.3,55000.0,1340.0,100.0,86.0
10044,CA,5.4,75000.0,1830.0,161.0,137.0
10045,MD,4.5,84000.0,2060.0,124.0,113.0
10046,CA,6.1,75000.0,2020.0,156.0,123.0
10047,CA,5.2,75000.0,1940.0,158.0,124.0
10048,TX,3.8,61000.0,1730.0,105.0,83.0
10049,CA,5.5,75000.0,1850.0,158.0,127.0
10050,OH,4.2,56000.0,1340.0,83.0,80.0
10051,TX,3.7,61000.0,1400.0,113.0,90.0
10052,TX,4.4,61000.0,1430.0,107.0,88.0
10053,WI,4.2,60000.0,1590.0,101.0,82.0
10054,IN,4.4,55000.0,1290.0,96.0,74.0
10055,WA,5.5,78000.0,1690.0,162.0,135.0
10056,NC,4.2,54000.0,1380.0,116.0,92.0
10057,TN,4.4,53000.0,1120.0,107.0,84.0
10058,NY,5.3,72000.0,1850.0,138.0,108.0
10059,GA,3.6,58000.0,1340.0,107.0,90.0
